Test Name,Difficulty,No. of Questions,Time Needed,Description,Link
Corporate Finance,Medium,18 Questions,20 Min,"The Corporate Finance assessment evaluates candidates’ skills in financial analysis, modeling, capital budgeting, risk management, valuation, and financial planning.",https://testlify.com/test-library/corporate-finance-test/
Corporate Communication,Medium,18 Questions,20 Min,"The Corporate Communication assessment evaluates candidates’ skills in written and verbal communication, strategic thinking, media relations, crisis communication, and stakeholder engagement.",https://testlify.com/test-library/corporate-communication/
Cooking Techniques,Medium,18 Questions,15 Min,"The Cooking Techniques assessment evaluates candidates’ skills in knife handling, cooking methods, flavor development, plating, food safety, and time management.",https://testlify.com/test-library/cooking-techniques/
Winform,Medium,18 Questions,20 Min,The Winform test is an assessment designed to evaluate a candidate’s knowledge and skills in WinForms development.,https://testlify.com/test-library/winform-test/
Windows Workflow,Medium,10 Questions,10 Min,"The Windows Workflow test evaluates a candidate’s knowledge and skills related to Windows Workflow Foundation (WF), a Microsoft technology used for creating workflow-enabled applications.",https://testlify.com/test-library/windows-workflow/
Community Engagement,Medium,10 Questions,10 Min,"Community Engagement assessment evaluates candidates’ skills in building relationships, communication, problem-solving, teamwork, empathy, and cultural competence.",https://testlify.com/test-library/community-engagement/
Community Management,Medium,10 Questions,10 Min,"Community Management involves effective communication, problem-solving, relationship-building, and leveraging technology to foster a positive community experience and achieve community goals.",https://testlify.com/test-library/community-management/
Cognitive Flexibility,Medium,18 Questions,15 Min,"Assessing this skill is crucial as it determines one’s capacity to think creatively, solve problems, make sound decisions, embrace change, and learn effectively.",https://testlify.com/test-library/cognitive-flexibility/
Coaching Sales Teams,Medium,18 Questions,15 Min,"The Coaching Sales Teams assessment is crucial for selecting candidates who can drive sales team success, enhance performance, and achieve sales targets.",https://testlify.com/test-library/coaching-sales-teams/
Clerical Aptitude,Medium,18 Questions,15 Min,"The Clerical Aptitude assessment evaluates candidates’ skills in areas such as numerical and verbal aptitude, attention to detail, data entry accuracy, organization, and problem-solving.",https://testlify.com/test-library/clerical-aptitude/
Clean Code,Medium,10 Questions,10 Min,"Assessing candidates’ ability to write clean code is essential as it ensures code quality, collaboration, and maintainability, leading to efficient software development and easier troubleshooting.",https://testlify.com/test-library/clean-code/
Citrix Hypervisor (XenServer),Medium,10 Questions,10 Min,"Assessing candidates’ skills in Citrix Hypervisor (XenServer) ensures their ability to deploy, configure, monitor, and troubleshoot virtualized environments.",https://testlify.com/test-library/citrix-hypervisor-xenserver/
CICS,Medium,18 Questions,20 Min,"CICS (Customer Interaction and Customer Service) assessment evaluates candidates’ skills in communication, problem-solving, empathy, adaptability, time management, and customer relationship management",https://testlify.com/test-library/cics-test/
Change and Transformation,Medium,30 Questions,20 Min,"Assessing candidates’ sub-skills such as change methodologies, stakeholder engagement, communication, impact analysis and change leadership ensures their ability to drive successful change initiatives",https://testlify.com/test-library/change-and-transformation/
Change Management,Medium,12 Questions,10 Min,Assessing candidates’ Change Management skills ensures their ability to lead and manage change initiatives successfully.,https://testlify.com/test-library/change-management/
Candidate Engagement,Medium,18 Questions,15 Min,"The Candidate Engagement assessment evaluates candidates’ skills in effectively communicating, building relationships, and enhancing the candidate experience.",https://testlify.com/test-library/candidate-engagement/
Building Rapport,Medium,18 Questions,15 Min,"Building Rapport assessment evaluates candidates’ skills in establishing connections, effective communication, and relationship building.",https://testlify.com/test-library/building-rapport/
Big Data – Sqoop,Medium,30 Questions,25 Min,Big Data – Sqoop is an assessment that evaluates candidates’ skills in using Sqoop for efficient data ingestion and integration between Hadoop and relational databases.,https://testlify.com/test-library/big-data-sqoop/
Big Data – Pig,Medium,18 Questions,20 Min,The Big Data – Pig assessment is designed to evaluate a candidate’s proficiency in working with large datasets using the Pig programming language.,https://testlify.com/test-library/big-data-pig/
Informatica,Medium,10 Questions,10 Min,"Informatica is a leading data integration and management software suite. It offers solutions for ETL, data quality, master data management, and more.",https://testlify.com/test-library/informatica/
IMS (Information Management System),Medium,10 Questions,10 Min,"IMS (Information Management System) provides robust data management capabilities for organizations, supporting efficient storage, retrieval, and administration of structured data.",https://testlify.com/test-library/ims-information-management-system/
IMS DB/DC,Medium,10 Questions,10 Min,IMS DB/DC is an assessment that evaluates candidates’ proficiency in managing IMS (Information Management System) databases and online transaction processing.,https://testlify.com/test-library/ims-db-dc/
IIS,Medium,10 Questions,10 Min,IIS (Internet Information Services) is a web server software developed by Microsoft. It provides a platform for hosting websites and web applications on Windows servers.,https://testlify.com/test-library/iis/
HTML5 Subjective,Medium,10 Questions,10 Min,"The HTML5 Subjective assessment assesses a candidate’s ability to create semantic markup, utilize new HTML5 elements, implement web forms, leverage APIs and enable offline capabilities.",https://testlify.com/test-library/html5-subjective/
HTML/CSS,Medium,10 Questions,10 Min,"HTML/CSS is the foundation of web development. HTML provides structure to web pages, while CSS adds visual styles.",https://testlify.com/test-library/html-css/
HortonWorks,Medium,18 Questions,20 Min,"HortonWorks is a comprehensive big data platform that enables organizations to store, process, and analyze large volumes of data.",https://testlify.com/test-library/hortonworks/
Hive,Medium,10 Questions,10 Min,Hive is a data warehouse infrastructure built on Hadoop that allows for querying and analyzing large datasets using HiveQL.,https://testlify.com/test-library/hive/
Helm,Medium,10 Questions,10 Min,"Helm is a package manager for Kubernetes that simplifies application deployment and management. It allows for efficient packaging, versioning, and customization of applications using Helm charts.",https://testlify.com/test-library/helm/
Hadoop Big Data,Medium,10 Questions,10 Min,Hadoop Big Data is a framework for processing and analyzing large-scale datasets using distributed computing.,https://testlify.com/test-library/hadoop-big-data/
Gradle Skill,Medium,10 Questions,10 Min,The Gradle Skill assessment evaluates candidates’ proficiency in working with Gradle build automation tool.,https://testlify.com/test-library/gradle-skill/
Gradle,Medium,10 Questions,10 Min,"Gradle is a powerful build automation tool used in software development to manage dependencies, compile code, run tests, and package software efficiently.",https://testlify.com/test-library/gradle/
Google Data Studio,Medium,10 Questions,10 Min,"Google Data Studio is a powerful data visualization and reporting tool that enables users to create interactive dashboards, connect to various data sources, and communicate insights effectively.",https://testlify.com/test-library/google-data-studio/
GitHub,Medium,10 Questions,10 Min,"GitHub is a web-based platform for version control and collaboration, enabling developers to host, manage, and review code repositories.",https://testlify.com/test-library/github/
Gatsby.js,Medium,18 Questions,20 Min,"Gatsby.js is a React-based framework for building blazing-fast websites and applications, leveraging GraphQL for data management and offering a rich ecosystem of plugins and optimizations.",https://testlify.com/test-library/gatsby-js-test/
Flume,Medium,10 Questions,10 Min,Flume is a distributed data collection and aggregation system in the Apache ecosystem.,https://testlify.com/test-library/flume/
Flexbox,Medium,10 Questions,10 Min,"Flexbox is a CSS layout module that simplifies the creation of dynamic and adaptive layouts, allowing developers to align, distribute, and order elements with ease.",https://testlify.com/test-library/flexbox/
Financial Management,Medium,10 Questions,10 Min,"Financial Management involves the planning, analysis, and control of an organization’s financial resources. It includes budgeting, financial reporting and risk management.",https://testlify.com/test-library/financial-management/
F5 Networks,Medium,10 Questions,10 Min,F5 Networks specializes in application delivery and security solutions.,https://testlify.com/test-library/f5-networks/
Excel Functions,Medium,10 Questions,10 Min,"The Excel Functions assessment evaluates candidates’ proficiency in using formulas, data manipulation, analysis, logical operations, date/time functions, and lookup/reference functions in Excel.",https://testlify.com/test-library/excel-functions/
Erwin Data Modeler,Medium,18 Questions,20 Min,"Erwin Data Modeler is an assessment assesses sub-skills such as data modeling, database design, data integration, data governance, documentation, and collaboration.",https://testlify.com/test-library/erwin-data-modeler/
ELK,Medium,10 Questions,10 Min,"The ELK assessment evaluates candidates’ proficiency in log management, data visualization, querying, data analysis, system monitoring, and security analysis using ELK stack components.",https://testlify.com/test-library/elk/
Dynatrace,Medium,10 Questions,10 Min,"Dynatrace is an assessment that evaluates candidates’ skills in utilizing the Dynatrace monitoring tool. It covers installation, performance monitoring, troubleshooting, alerting and dashboards.",https://testlify.com/test-library/dynatrace/
Drupal,Medium,18 Questions,20 Min,"This assessment evaluates candidates’ proficiency in Drupal development, theming, module development, performance optimization, security, and content management.",https://testlify.com/test-library/drupal/
Documentation,Medium,18 Questions,20 Min,"Documentation assessment evaluates candidates’ writing, research, organization, technical knowledge, editing, and collaboration skills.",https://testlify.com/test-library/documentation/
Data Entry,Medium,10 Questions,10 Min,"Data Entry assessments evaluate candidates’ skills in accurately and efficiently entering data. It assesses typing speed, attention to detail, software proficiency, time management and data integrity.",https://testlify.com/test-library/data-entry/
Data Analyst Excel,Medium,18 Questions,20 Min,"The Data Analyst Excel assessment evaluates candidates’ proficiency in using Excel for data manipulation, analysis, visualization, and modeling.",https://testlify.com/test-library/data-analyst-excel/
Cucumber,Medium,10 Questions,10 Min,Cucumber is a behavior-driven development (BDD) tool that facilitates collaboration between technical and non-technical stakeholders.,https://testlify.com/test-library/cucumber/
CSS 3,Medium,10 Questions,10 Min,"CSS 3 is the latest version of Cascading Style Sheets, a core technology used for styling web pages.",https://testlify.com/test-library/css-3/
Cryptography,Medium,10 Questions,10 Min,"Cryptography is the practice and study of secure communication techniques, encompassing encryption, decryption, and cryptographic algorithms.",https://testlify.com/test-library/cryptography/
Coupa,Medium,10 Questions,10 Min,Coupa is a comprehensive procurement and expense management platform.,https://testlify.com/test-library/coupa/
CorelDraw,Medium,10 Questions,10 Min,"CorelDraw is a versatile graphic design software widely used in the industry. CorelDraw is essential for professionals in graphic design, illustration, print design, branding, and advertising.",https://testlify.com/test-library/coreldraw/
CodeIgniter,Medium,10 Questions,10 Min,CodeIgniter is a powerful PHP framework that simplifies web application development.,https://testlify.com/test-library/codeigniter/
Cocos Creator,Medium,10 Questions,10 Min,Cocos Creator is a game development engine and editor that empowers developers to create interactive games and applications.,https://testlify.com/test-library/cocos-creator/
COBOL 400,Medium,10 Questions,10 Min,"COBOL 400 refers to COBOL programming on the IBM AS/400 (IBM i) platform. It involves proficiency in COBOL syntax, AS/400 file handling, database connectivity, testing, system interfaces, and security",https://testlify.com/test-library/cobol-400/
COBOL,Medium,10 Questions,10 Min,"COBOL is a business-oriented programming language widely used in legacy systems. It requires expertise in syntax, debugging, file processing, database connectivity and testing tools.",https://testlify.com/test-library/cobol/
Cloud System Administration,Medium,10 Questions,10 Min,"Cloud system administration involves managing and optimizing cloud infrastructure, including security, automation, performance monitoring, and troubleshooting.",https://testlify.com/test-library/cloud-system-administration/
Cloud Computing,Medium,18 Questions,20 Min,"Cloud Computing assessment evaluates the candidate’s knowledge and skills in cloud computing technology, including its concepts, principles, and practices.",https://testlify.com/test-library/cloud-computing/
Cloud Foundry,Medium,10 Questions,10 Min,"Cloud Foundry is an open-source, multi-cloud application platform as a service (PaaS) that simplifies software development by managing infrastructure needs.",https://testlify.com/test-library/cloud-foundry/
Blue Prism,Medium,18 Questions,20 Min,"The Blue Prism assessment measures the candidate’s ability to analyze business requirements, design efficient and scalable RPA solutions, and implement Blue Prism best practices.",https://testlify.com/test-library/blue-prism/
Big Data – Oozie,Medium,18 Questions,20 Min,"This test assesses the candidate’s ability to use Apache Oozie to manage and schedule Hadoop jobs. It tests skills in designing, implementing, and maintaining workflows to automate data processing.",https://testlify.com/test-library/big-data-oozie/
Best Work Aptitude,Medium,18 Questions,20 Min,"The Best Work Aptitude assessment measures a candidate’s potential to succeed in areas such as problem-solving, communication, teamwork, and work ethics.",https://testlify.com/test-library/best-work-aptitude/
Behavioral Management,Medium,10 Questions,10 Min,"The Behavioral Management assessment evaluates the candidate’s ability to manage and interact with people effectively. It assesses communication, leadership, conflict resolution and teamwork.",https://testlify.com/test-library/behavioral-management/
Basic Mathematics III,Hard,10 Questions,10 Min,"The Basic Mathematics III test evaluates a candidate’s advanced mathematical skills, including calculus and algebra. The test assesses the ability to solve complex problems.",https://testlify.com/test-library/basic-mathematics-iii/
Basic Mathematics II,Medium,10 Questions,10 Min,"The Basic Mathematics II assessment evaluates the candidate’s proficiency in advanced mathematical concepts such as algebra, geometry, trigonometry, and calculus.",https://testlify.com/test-library/basic-mathematics-ii/
Basic Mathematics 1,Easy,18 Questions,20 Min,"This assessment evaluates a candidate’s ability to perform basic mathematical operations such as addition, subtraction, multiplication, and division.",https://testlify.com/test-library/basic-mathematics-i/
Windows Azure,Medium,10 Questions,10 Min,"The Windows Azure test evaluates a candidate’s knowledge and skills in working with Microsoft Azure, a leading cloud computing platform.",https://testlify.com/test-library/windows-azure/
WebFOCUS,Medium,10 Questions,10 Min,The WebFOCUS test evaluates a candidate’s knowledge and skills in using the WebFOCUS business intelligence and analytics software.,https://testlify.com/test-library/webfocus/
Websphere,Medium,10 Questions,10 Min,"The Websphere test evaluates a candidate’s knowledge and skills in working with IBM Websphere, a software platform used for developing, deploying, and managing enterprise applications.",https://testlify.com/test-library/websphere/
Web Automation with Python,Medium,18 Questions,20 Min,The Web Automation with Python test evaluates a candidate’s proficiency in using Python for web automation purposes.,https://testlify.com/test-library/web-automation-with-python-test/
WCF (Windows Communication Foundation),Medium,10 Questions,10 Min,The WCF (Windows Communication Foundation) assessment evaluates a candidate’s knowledge and proficiency in building service-oriented applications using the WCF framework on Windows.,https://testlify.com/test-library/wcf-windows-communication-foundation/
Watir,Medium,10 Questions,10 Min,"The Watir test is designed to assess candidates’ proficiency in using Watir, a popular open-source web application testing framework.",https://testlify.com/test-library/watir/
Visual FoxPro (VFP),Medium,18 Questions,20 Min,"The Visual FoxPro (VFP) test evaluates candidates’ proficiency in database management, software development, and data analysis using the Visual FoxPro programming language.",https://testlify.com/test-library/visual-foxpro-vfp/
Visual Basic Application (VBA),Medium,18 Questions,20 Min,The Visual Basic Application (VBA) test is designed to assess the candidate’s problem-solving skills across various business functionalities.,https://testlify.com/test-library/visual-basic-application-vba-test/
VB .Net Web Forms,Medium,18 Questions,20 Min,The VB .NET Web Forms test is designed to assess a candidate’s proficiency in developing web applications using VB .NET and the Web Forms framework.,https://testlify.com/test-library/vb-net-web-forms-test/
VB .Net,Medium,18 Questions,20 Min,The VB .NET test is designed to assess the candidate’s proficiency in working with the Visual Basic .NET programming language.,https://testlify.com/test-library/vb-net-test/
Vanilla JS,Medium,18 Questions,20 Min,The Vanilla JS Assessment is a comprehensive evaluation designed to assess candidates’ proficiency in core JavaScript concepts and programming skills.,https://testlify.com/test-library/vanilla-js-test/
Unity,Medium,10 Questions,10 Min,The Unity test is designed to assess the candidate’s proficiency in working with the Unity game development engine.,https://testlify.com/test-library/unity/
Unified Functional testing (UFT/QTP),Medium,10 Questions,10 Min,The Unified Functional Testing (UFT/QTP) Assessment is a comprehensive evaluation designed to assess candidates’ proficiency in utilizing the UFT/QTP software for automated functional testing.,https://testlify.com/test-library/unified-functional-testing-uft-qtp/
Underscore JS,Medium,18 Questions,20 Min,The Underscore JS test is designed to assess the candidate’s proficiency in working with the Underscore JavaScript library.,https://testlify.com/test-library/underscore-js-test/
Bankers Aptitude,Medium,18 Questions,20 Min,"Bankers Aptitude test assesses a candidate’s ability to perform various banking functions, including financial analysis, customer service, and compliance.",https://testlify.com/test-library/bankers-aptitude/
Bash,Medium,18 Questions,20 Min,"Bash test evaluates a candidate’s ability to write and understand Bash scripts, including basic syntax, data manipulation, and shell scripting techniques.",https://testlify.com/test-library/bash-test/
popular,Bank Teller Aptitude,Medium,18 Questions,20 Min,https://testlify.com/test-library/bank-teller-aptitude/
AWS SQS,Medium,10 Questions,10 Min,"AWS Simple Queue Service (SQS) is a fully managed message queuing service that enables decoupling and scaling microservices, distributed systems, and serverless applications.",https://testlify.com/test-library/aws-sqs/
AWS SNS,Medium,10 Questions,10 Min,"AWS SNS (Simple Notification Service) is a messaging service that enables developers to send notifications to individuals or groups via SMS, email, or other mobile push notification services.",https://testlify.com/test-library/aws-sns/
AWS Route 53,Medium,10 Questions,10 Min,AWS Route 53 is a highly scalable cloud Domain Name System (DNS) web service that provides developers and businesses with a reliable and cost-effective way to route end users to internet applications.,https://testlify.com/test-library/aws-route-53/
AWS KMS,Medium,10 Questions,10 Min,"AWS KMS (Key Management Service) is a fully managed encryption service that makes it easier to create and manage encryption keys, enabling you to protect your data.",https://testlify.com/test-library/aws-kms/
AWS IAM,Medium,10 Questions,10 Min,An assessment for AWS IAM tests the candidate’s ability to understand and manage access control and permissions for AWS resources.,https://testlify.com/test-library/aws-iam/
AWS Glacier,Medium,10 Questions,10 Min,"The AWS Glacier assessment tests a candidate’s knowledge of the Amazon Web Services storage service, which is used to store data for long-term archiving and backup.",https://testlify.com/test-library/aws-glacier/
AWS EMR,Medium,10 Questions,10 Min,"AWS EMR (Elastic MapReduce) is a fully managed cloud service for processing and analyzing large amounts of data using open-source tools like Apache Hadoop, Spark, and Hive.",https://testlify.com/test-library/aws-emr/
AWS ELB,Medium,10 Questions,10 Min,"The AWS ELB assessment evaluates a candidate’s ability to design, configure, and maintain ELB instances for different applications, troubleshoot issues, and ensure high availability and scalability.",https://testlify.com/test-library/aws-elb/
AWS ECS,Medium,10 Questions,10 Min,The AWS ECS assessment evaluates a candidate’s knowledge and skills in deploying and managing containerized applications using AWS ECS.,https://testlify.com/test-library/aws-ecs/
UML,Medium,10 Questions,10 Min,"The UML (Unified Modeling Language) test is commonly used during the hiring process to evaluate a candidate’s proficiency in UML, a standardized visual modeling language used in software engineering.",https://testlify.com/test-library/uml/
AWS DevOps,Medium,18 Questions,20 Min,"AWS DevOps assessment evaluates a candidate’s skills in managing cloud-based applications and infrastructure, automating software delivery, and collaboration between development and operations teams.",https://testlify.com/test-library/aws-devops/
AWS CodePipeline,Medium,10 Questions,10 Min,AWS CodePipeline assessment evaluates a candidate’s ability to use CodePipeline for software release processes. It tests their knowledge of continuous integration and delivery principles.,https://testlify.com/test-library/aws-codepipeline/
Amazon Aurora,Medium,10 Questions,10 Min,"The Amazon Aurora assessment evaluates a candidate’s knowledge of Aurora architecture, configuration, security, performance optimization, backups and recovery, monitoring and AWS services integration.",https://testlify.com/test-library/amazon-aurora/
AJAX,Medium,10 Questions,10 Min,"AJAX assessment evaluates candidates’ technical skills related to developing interactive and responsive web-based applications using AJAX frameworks and libraries, XML, and JSON.",https://testlify.com/test-library/ajax/
AIX Online,Medium,10 Questions,10 Min,"AIX Online is an assessment tool designed to evaluate candidates’ technical skills related to IBM AIX. It covers various sub-skills, including AIX system administration, architecture and networking.",https://testlify.com/test-library/aix-online/
Aircraft Design Skills,Medium,18 Questions,20 Min,"Aircraft Design Skills assessment evaluates a candidate’s proficiency in designing and developing safe, efficient, and innovative aircraft.",https://testlify.com/test-library/aircraft-design-skills/
Aerospace,Medium,18 Questions,20 Min,"Aerospace is a field that deals with the design, development, and operation of aircraft, spacecraft, and related systems.",https://testlify.com/test-library/aerospace/
Adwords,Medium,10 Questions,10 Min,"The AdWords test assesses a candidate’s knowledge and proficiency in setting up and managing ad campaigns, analyzing and optimizing ad performance, and using AdWords tools and features.",https://testlify.com/test-library/adwords/
ADO.NET,Medium,10 Questions,10 Min,"ADO.NET is a data access technology used to manage and manipulate data from different data sources, including databases, XML files, and web services, using .NET languages.",https://testlify.com/test-library/ado-net/
Active Directory,Medium,10 Questions,10 Min,Active Directory (AD) is a technology developed by Microsoft for managing network resources in a Windows domain environment.,https://testlify.com/test-library/active-directory/
Excel Formulas,Medium,10 Questions,10 Min,The Excel Formulas assessment evaluates a candidate’s proficiency in using formulas and functions in Microsoft Excel.,https://testlify.com/test-library/excel-formulas/
Excel & SQL,Medium,10 Questions,10 Min,"This assessment evaluates a candidate’s ability to manipulate and analyze data using Microsoft Excel and SQL. It assesses skills such as data management, data analysis and SQL querying.",https://testlify.com/test-library/excel-sql/
Excel & Data Interpretation,Medium,10 Questions,10 Min,"Excel & Data Interpretation assessment skills such as data entry, data organization, data filtering, and data interpretation.",https://testlify.com/test-library/excel-data-interpretation/
Teradata Application Developer V2R5,Medium,10 Questions,10 Min,"The Teradata Application Developer V2R5 assessment measures the candidate’s knowledge and proficiency in key areas like SQL, data modeling, Teradata utilities, and more.",https://testlify.com/test-library/teradata-application-developer-v2r5/
Telecom Tertiary Sales Manager,Medium,10 Questions,10 Min,The Telecom Tertiary Sales Manager test assesses candidates’ skills to drive tertiary sales in the telecommunications industry.,https://testlify.com/test-library/telecom-tertiary-sales-manager/
Construction Manager Aptitude,Medium,18 Questions,20 Min,"The Construction Manager Aptitude test evaluates a candidate’s ability to manage construction projects, including planning, scheduling, and team management.",https://testlify.com/test-library/construction-manager-aptitude/
Ionic framework with React,Medium,10 Questions,10 Min,The Ionic framework with React assessment is designed to evaluate the candidate’s proficiency in using the Ionic framework with React for mobile app development.,https://testlify.com/test-library/ionic-framework-with-react/
Teacher Assistant,Medium,18 Questions,20 Min,"The Teacher Assistant assessment evaluates a candidate’s proficiency in assisting teachers with classroom instruction, classroom management, and student interaction.",https://testlify.com/test-library/teacher-assistant-test/
Talent Sourcer,Medium,18 Questions,20 Min,"The Talent Sourcer assessment evaluates a candidate’s ability to source, identify, and engage potential job candidates.",https://testlify.com/test-library/talent-sourcer/
System Administrator,Medium,10 Questions,10 Min,"A system administrator is responsible for maintaining, configuring, and troubleshooting computer systems, networks, and servers.",https://testlify.com/test-library/system-administrator/
Staffing Coordinator,Medium,18 Questions,20 Min,"This assessment evaluates the candidate’s ability to manage staffing requirements for an organization. The test assesses their skills in recruitment, scheduling, communication, and coordination.",https://testlify.com/test-library/staffing-coordinator-test/
Ruby Full Stack Developer,Medium,18 Questions,20 Min,"The Ruby Full Stack Developer assessment evaluates a candidate’s knowledge of Ruby programming language, web development, and database management.",https://testlify.com/test-library/ruby-full-stack-developer-test/
Robotics Engineer,Medium,18 Questions,20 Min,"The Robotics Engineer assessment evaluates the candidate’s knowledge and skills in designing, developing, and testing robotic systems.",https://testlify.com/test-library/robotics-engineer-test/
Risk Analyst,Medium,18 Questions,20 Min,"The Risk Analyst assessment evaluates a candidate’s ability to identify, assess, and prioritize risks, analyze data, and develop effective risk management strategies.",https://testlify.com/test-library/risk-analyst-test/
Oracle ADF,Medium,10 Questions,10 Min,Oracle Application Development Framework (ADF) is a Java-based framework used to build enterprise applications.,https://testlify.com/test-library/oracle-adf/
Performance testing,Medium,10 Questions,10 Min,The Performance Testing test evaluates a candidate’s knowledge and skills in assessing the performance and scalability of software applications.,https://testlify.com/test-library/performance-testing/
Penetration testing,Medium,18 Questions,20 Min,"The Penetration Testing test evaluates a candidate’s knowledge and skills in assessing the security of computer systems, networks, and applications.",https://testlify.com/test-library/penetration-testing/
Pega BPM,Medium,10 Questions,10 Min,The Pega BPM (Business Process Management) test evaluates a candidate’s knowledge and skills in utilizing the Pega BPM platform for business process automation and optimization.,https://testlify.com/test-library/pega-bpm/
OWASP,Medium,10 Questions,10 Min,The OWASP (Open Web Application Security Project) test evaluates a candidate’s knowledge and skills in web application security.,https://testlify.com/test-library/owasp/
OutSystems,Medium,18 Questions,20 Min,The OutSystems test is a comprehensive assessment designed to evaluate a candidate’s proficiency in utilizing the OutSystems low-code development platform.,https://testlify.com/test-library/outsystems/
JFrog,Medium,10 Questions,10 Min,"The JFrog test is designed to evaluate a candidate’s knowledge and skills in working with JFrog, a leading provider of DevOps and DevSecOps solutions.",https://testlify.com/test-library/jfrog/
Jest,Medium,10 Questions,10 Min,"The Jest test is designed to evaluate a candidate’s knowledge and skills in using Jest, a popular JavaScript testing framework.",https://testlify.com/test-library/jest/
Jersey,Medium,10 Questions,10 Min,"The Jersey test is designed to evaluate a candidate’s knowledge and skills in working with Jersey, a popular framework for building RESTful web services in Java.",https://testlify.com/test-library/jersey/
Ansible & Jenkins,Medium,18 Questions,20 Min,"The Jenkins & Ansible test evaluates a candidate’s knowledge and skills in working with Jenkins and Ansible, two widely used tools in DevOps and automation.",https://testlify.com/test-library/jenkins-ansible/
JDBI 3,Medium,10 Questions,10 Min,"The JDBI 3 test is designed to evaluate a candidate’s proficiency in working with JDBI 3, a popular database access library for Java applications.",https://testlify.com/test-library/jdbi-3/
JDBC,Medium,10 Questions,10 Min,"The JDBC (Java Database Connectivity) test is designed to assess a candidate’s proficiency in working with JDBC, a Java API for connecting and interacting with relational databases.",https://testlify.com/test-library/jdbc/
JCL,Medium,10 Questions,10 Min,"This test evaluates a candidate’s proficiency in JCL (Job Control Language), a scripting language used in mainframe environments to define and control batch jobs.",https://testlify.com/test-library/jcl/
Java Descriptive,Medium,10 Questions,10 Min,The Java Descriptive assessment is designed to evaluate candidates’ problem-solving skills and proficiency in Java programming.,https://testlify.com/test-library/java-descriptive/
J2EE,Medium,10 Questions,10 Min,"The J2EE assessment is designed to evaluate candidates’ proficiency in Java 2 Platform, Enterprise Edition (J2EE) development.",https://testlify.com/test-library/j2ee/
JBoss (WildFly),Medium,10 Questions,10 Min,"The JBoss (WildFly) assessment is designed to evaluate candidates’ problem-solving skills and proficiency in working with the JBoss application server, specifically the WildFly implementation.",https://testlify.com/test-library/jboss-wildfly/
Jaspersoft,Medium,10 Questions,10 Min,The Jaspersoft assessment is designed to evaluate candidates’ proficiency in using the Jaspersoft Business Intelligence (BI) suite.,https://testlify.com/test-library/jaspersoft/
Jasmine,Medium,10 Questions,10 Min,The Jasmine assessment is designed to evaluate candidates’ proficiency in using the Jasmine framework for JavaScript unit testing.,https://testlify.com/test-library/jasmine/
IronPython,Medium,10 Questions,10 Min,The IronPython test is designed to assess candidates’ proficiency in the IronPython programming language.,https://testlify.com/test-library/ironpython/
IOS Swift,Medium,10 Questions,10 Min,The iOS Swift test is a comprehensive assessment designed to evaluate candidates’ proficiency in the Swift programming language for iOS development.,https://testlify.com/test-library/ios-swift/
Testing and Debugging Skills,Medium,14 Questions,10 Min,"This assessment evaluates candidates’ proficiency in testing and debugging software applications, assessing their ability to identify and resolve issues effectively.",https://testlify.com/test-library/testing-and-debugging-skills/
Delta live tables,Medium,5 Questions,5 Min,The Delta Live Tables test is designed to assess the candidate’s proficiency in data analysis and interpretation.,https://testlify.com/test-library/delta-live-tables/
Databricks,Medium,5 Questions,5 Min,"The Databricks test evaluates a candidate’s skills and proficiency in working with the Databricks platform, a collaborative environment for big data analytics and processing.",https://testlify.com/test-library/databricks/
Azure event hub,Medium,10 Questions,10 Min,"The Azure Event Hub test is designed to evaluate candidates’ proficiency in working with Azure Event Hub, a cloud-based event processing service provided by Microsoft Azure.",https://testlify.com/test-library/azure-event-hub/
ETL,Medium,10 Questions,10 Min,"ETL (Extract, Transform, Load) assessment evaluates candidates’ skills in data extraction, transformation, and loading processes.",https://testlify.com/test-library/etl/
Complete Automation,Medium,10 Questions,10 Min,"The Complete Automation assessment evaluates candidates’ skills in programming, test frameworks, design, execution, CI/CD, and problem-solving for effective test automation.",https://testlify.com/test-library/complete-automation/
Business Strategy Foundations,Medium,18 Questions,20 Min,The Business Strategy Foundations test assesses a candidate’s understanding of fundamental concepts and skills related to business strategy.,https://testlify.com/test-library/business-strategy-foundations-test/
Azure Devops,Medium,10 Questions,10 Min,"The Azure DevOps test is a comprehensive assessment used during the hiring process to evaluate a candidate’s proficiency in utilizing Azure DevOps, a suite of development tools provided by Microsoft.",https://testlify.com/test-library/azure-devops/
Azure Machine,Medium,10 Questions,10 Min,"The assessment evaluates candidates’ proficiency in leveraging Azure Machine Learning for tasks like data preprocessing, model development, evaluation, and deployment.",https://testlify.com/test-library/azure-machine/
Azure DataBricks,Medium,10 Questions,10 Min,"The Azure Databricks test is designed to assess a candidate’s proficiency in using Azure Databricks, a fast, easy, and collaborative Apache Spark-based analytics platform provided by Microsoft.",https://testlify.com/test-library/azure-databricks/
Azure Data Factory,Medium,18 Questions,20 Min,"The Azure Data Factory test is designed to evaluate a candidate’s proficiency in using Azure Data Factory, a cloud-based data integration service offered by Microsoft.",https://testlify.com/test-library/azure-data-factory/
Azure Bot Services,Medium,15 Questions,15 Min,"The Azure Bot Services assessment is designed to evaluate a candidate’s proficiency in utilizing Azure Bot Services, a cloud-based platform for building, deploying, and managing intelligent chatbots.",https://testlify.com/test-library/azure-bot-services/
